Date,BAC,C,GS,JPM
2017-01-03,20.346792221069336,52.99028015136719,221.26307678222656,76.10528564453125
2017-01-04,20.726099014282227,53.70743179321289,222.69190979003906,76.24564361572266
2017-01-05,20.48225975036621,52.771636962890625,221.0340576171875,75.5438003540039
2017-01-06,20.48225975036621,52.95529556274414,224.31312561035156,75.5525894165039
2017-01-09,20.364858627319336,52.66668701171875,222.4720916748047,75.605224609375
2017-01-10,20.717065811157227,52.67543029785156,222.1790313720703,75.82453155517578
2017-01-11,20.8344669342041,52.43930435180664,225.100830078125,76.394775390625
2017-01-12,20.69900131225586,51.800865173339844,223.34222412109375,75.65784454345703
2017-01-13,20.780282974243164,52.150691986083984,223.76358032226562,76.06139373779297
2017-01-17,19.913307189941406,51.05747985839844,215.92315673828125,73.29794311523438
2017-01-18,20.437103271484375,50.191650390625,214.59503173828125,73.64006805419922
2017-01-19,20.346792221069336,49.55321502685547,211.9571533203125,73.07859802246094
2017-01-20,20.446138381958008,49.072200775146484,212.68075561523438,73.40321350097656
2017-01-23,20.37388801574707,48.69614028930664,213.1112060546875,73.43828582763672
2017-01-24,20.726099014282227,49.623172760009766,214.03631591796875,74.32437133789062
2017-01-25,21.105398178100586,50.45402145385742,217.3061981201172,75.47361755371094
2017-01-26,21.168617248535156,50.1654167175293,219.4403533935547,76.10528564453125
2017-01-27,21.09636878967285,49.946773529052734,217.03143310546875,76.26319122314453
2017-01-30,20.726099014282227,49.509490966796875,214.23777770996094,75.47361755371094
2017-01-31,20.446138381958008,48.82732009887695,210.04283142089844,74.24541473388672
2017-02-01,20.67191505432129,49.01972579956055,211.2793731689453,74.52613830566406
2017-02-02,20.518381118774414,49.09866714477539,211.0412139892578,74.21031188964844
2017-02-03,21.03314781188965,50.65985107421875,220.69512939453125,76.4825210571289
2017-02-06,20.879629135131836,50.55460739135742,219.80673217773438,76.1228256225586
2017-02-07,20.68094253540039,50.1599235534668,219.47698974609375,76.0789566040039
2017-02-08,20.473230361938477,49.39686584472656,217.745849609375,75.4122085571289
2017-02-09,20.879629135131836,50.221309661865234,221.24473571777344,76.50006103515625
2017-02-10,20.843502044677734,50.545833587646484,222.31637573242188,76.3246078491211
2017-02-13,21.132488250732422,51.70357894897461,225.5679931640625,77.33348846435547
2017-02-14,21.728534698486328,52.475406646728516,228.48980712890625,78.57048034667969
2017-02-15,22.198144912719727,53.06304168701172,229.47900390625,79.47409057617188
2017-02-16,22.198144912719727,52.95779800415039,228.47152709960938,79.42145538330078
2017-02-17,22.14396095275879,52.77360153198242,229.33245849609375,79.15824890136719
2017-02-21,22.378765106201172,53.106895446777344,230.59645080566406,79.84256744384766
2017-02-22,22.387800216674805,53.168277740478516,230.56895446777344,79.88642120361328
2017-02-23,22.198144912719727,53.168277740478516,230.07437133789062,79.94782257080078
2017-02-24,21.882062911987305,52.238590240478516,226.5571746826172,79.2459945678711
2017-02-27,22.18911361694336,52.64204406738281,228.37075805664062,79.33372497558594
2017-02-28,22.2884578704834,52.45785903930664,227.80137634277344,79.50041198730469
2017-03-01,23.099193572998047,53.97520065307617,232.07162475585938,82.1147232055664
2017-03-02,22.8546085357666,53.17706298828125,230.5563507080078,80.8338851928711
2017-03-03,23.044841766357422,53.5015754699707,232.23696899414062,81.41291046142578
2017-03-06,22.87272834777832,52.870079040527344,231.42880249023438,80.64087677001953
2017-03-07,22.836496353149414,53.06304168701172,230.40940856933594,80.19346618652344
2017-03-08,22.881786346435547,53.59805679321289,229.80331420898438,80.01801300048828
2017-03-09,22.963314056396484,53.98396682739258,229.74822998046875,80.3338394165039
2017-03-10,22.927082061767578,53.93134689331055,228.09527587890625,80.07942199707031
2017-03-13,22.918020248413086,53.9664192199707,227.8931884765625,80.14961242675781
2017-03-14,22.936141967773438,53.887489318847656,227.48912048339844,80.28119659423828
2017-03-15,22.8093204498291,53.36124801635742,226.6259307861328,80.47421264648438
2017-03-16,22.845558166503906,53.633140563964844,227.94834899902344,80.39525604248047
2017-03-17,22.51944923400879,52.94902038574219,224.01788330078125,79.55305480957031
2017-03-20,22.138992309570312,52.26490020751953,222.36483764648438,78.98279571533203
2017-03-21,20.852684020996094,50.905433654785156,213.97128295898438,76.666748046875
2017-03-22,20.780214309692383,50.66862487792969,212.19894409179688,76.78955841064453
2017-03-23,20.89797592163086,50.91420364379883,212.9611358642578,76.666748046875
2017-03-24,20.94327163696289,50.93174743652344,209.75616455078125,76.57901763916016
2017-03-27,20.861740112304688,51.1597900390625,207.0654296875,76.53514862060547
2017-03-28,21.26937484741211,52.11579895019531,210.60101318359375,77.728271484375
2017-03-29,21.151611328125,52.0894889831543,209.7928924560547,77.43876647949219
2017-03-30,21.622657775878906,53.07181167602539,212.33668518066406,78.10552978515625
2017-03-31,21.369014739990234,52.46663284301758,210.95916748046875,77.06153106689453
2017-04-03,21.369014739990234,52.343841552734375,210.2612762451172,76.7807846069336
2017-04-04,21.23314094543457,52.343841552734375,210.53671264648438,77.03667449951172
2017-04-05,20.988563537597656,52.26490020751953,209.0674285888672,76.0484619140625
2017-04-06,21.070085525512695,52.528018951416016,209.9673614501953,76.30433654785156
2017-04-07,20.979501724243164,52.12457275390625,209.2694549560547,76.03963470458984
2017-04-10,20.852684020996094,51.993003845214844,210.1969451904297,75.77491760253906
2017-04-11,20.762102127075195,51.77373123168945,209.14085388183594,75.64256286621094
2017-04-12,20.517518997192383,51.31766128540039,207.3133544921875,75.3514175415039
2017-04-13,20.236703872680664,50.905433654785156,205.0818634033203,74.46908569335938
