date,ticker,close,high,low,open
2016-06-30 00:00:00+00:00,gbpusd,1.3429,1.3429,1.3429,1.3429
2016-07-01 00:00:00+00:00,gbpusd,1.327,1.327,1.327,1.327
2016-07-04 00:00:00+00:00,gbpusd,1.3287,1.3287,1.3287,1.3287
2016-07-05 00:00:00+00:00,gbpusd,1.3048,1.3048,1.3048,1.3048
2016-07-06 00:00:00+00:00,gbpusd,1.2885,1.2885,1.2885,1.2885
2016-07-07 00:00:00+00:00,gbpusd,1.2932,1.2932,1.2932,1.2932
2016-07-08 00:00:00+00:00,gbpusd,1.296,1.296,1.296,1.296
2016-07-11 00:00:00+00:00,gbpusd,1.2987,1.2987,1.2987,1.2987
2016-07-12 00:00:00+00:00,gbpusd,1.3186,1.3186,1.3186,1.3186
2016-07-13 00:00:00+00:00,gbpusd,1.3215,1.3215,1.3215,1.3215
2016-07-14 00:00:00+00:00,gbpusd,1.3323,1.3323,1.3323,1.3323
2016-07-15 00:00:00+00:00,gbpusd,1.3231,1.3231,1.3231,1.3231
2016-07-18 00:00:00+00:00,gbpusd,1.3286,1.3286,1.3286,1.3286
2016-07-19 00:00:00+00:00,gbpusd,1.3136,1.3136,1.3136,1.3136
2016-07-20 00:00:00+00:00,gbpusd,1.3175,1.3175,1.3175,1.3175
2016-07-21 00:00:00+00:00,gbpusd,1.3211,1.3211,1.3211,1.3211
2016-07-22 00:00:00+00:00,gbpusd,1.3085,1.3085,1.3085,1.3085
2016-07-25 00:00:00+00:00,gbpusd,1.3122,1.3122,1.3122,1.3122
2016-07-26 00:00:00+00:00,gbpusd,1.3116,1.3116,1.3116,1.3116
2016-07-27 00:00:00+00:00,gbpusd,1.3114,1.3114,1.3114,1.3114
2016-07-28 00:00:00+00:00,gbpusd,1.312,1.312,1.312,1.312
2016-07-29 00:00:00+00:00,gbpusd,1.3267,1.3267,1.3267,1.3267
2016-08-01 00:00:00+00:00,gbpusd,1.3206,1.3206,1.3206,1.3206
2016-08-02 00:00:00+00:00,gbpusd,1.3306,1.3306,1.3306,1.3306
2016-08-03 00:00:00+00:00,gbpusd,1.3322,1.3322,1.3322,1.3322
2016-08-04 00:00:00+00:00,gbpusd,1.3128,1.3128,1.3128,1.3128
2016-08-05 00:00:00+00:00,gbpusd,1.3059,1.3059,1.3059,1.3059
2016-08-08 00:00:00+00:00,gbpusd,1.3038,1.3038,1.3038,1.3038
2016-08-09 00:00:00+00:00,gbpusd,1.2992,1.2992,1.2992,1.2992
2016-08-10 00:00:00+00:00,gbpusd,1.3014,1.3014,1.3014,1.3014
2016-08-11 00:00:00+00:00,gbpusd,1.2966,1.2966,1.2966,1.2966
2016-08-12 00:00:00+00:00,gbpusd,1.2935,1.2935,1.2935,1.2935
2016-08-15 00:00:00+00:00,gbpusd,1.2875,1.2875,1.2875,1.2875
2016-08-16 00:00:00+00:00,gbpusd,1.2967,1.2967,1.2967,1.2967
2016-08-17 00:00:00+00:00,gbpusd,1.3009,1.3009,1.3009,1.3009
2016-08-18 00:00:00+00:00,gbpusd,1.3162,1.3162,1.3162,1.3162
2016-08-19 00:00:00+00:00,gbpusd,1.3056,1.3056,1.3056,1.3056
2016-08-22 00:00:00+00:00,gbpusd,1.3146,1.3146,1.3146,1.3146
2016-08-23 00:00:00+00:00,gbpusd,1.3186,1.3186,1.3186,1.3186
2016-08-24 00:00:00+00:00,gbpusd,1.325,1.325,1.325,1.325
2016-08-25 00:00:00+00:00,gbpusd,1.3189,1.3189,1.3189,1.3189
2016-08-26 00:00:00+00:00,gbpusd,1.32,1.32,1.32,1.32
2016-08-30 00:00:00+00:00,gbpusd,1.3096,1.3096,1.3096,1.3096
2016-08-31 00:00:00+00:00,gbpusd,1.3099,1.3099,1.3099,1.3099
2016-09-01 00:00:00+00:00,gbpusd,1.3299,1.3299,1.3299,1.3299
2016-09-02 00:00:00+00:00,gbpusd,1.3309,1.3309,1.3309,1.3309
2016-09-05 00:00:00+00:00,gbpusd,1.3293,1.3293,1.3293,1.3293
2016-09-06 00:00:00+00:00,gbpusd,1.343,1.343,1.343,1.343
2016-09-07 00:00:00+00:00,gbpusd,1.334,1.334,1.334,1.334
2016-09-08 00:00:00+00:00,gbpusd,1.3316,1.3316,1.3316,1.3316
2016-09-09 00:00:00+00:00,gbpusd,1.3259,1.3259,1.3259,1.3259
2016-09-12 00:00:00+00:00,gbpusd,1.3303,1.3303,1.3303,1.3303
2016-09-13 00:00:00+00:00,gbpusd,1.3181,1.3181,1.3181,1.3181
2016-09-14 00:00:00+00:00,gbpusd,1.3176,1.3176,1.3176,1.3176
2016-09-15 00:00:00+00:00,gbpusd,1.3192,1.3192,1.3192,1.3192
2016-09-16 00:00:00+00:00,gbpusd,1.3079,1.3079,1.3079,1.3079
2016-09-19 00:00:00+00:00,gbpusd,1.3061,1.3061,1.3061,1.3061
2016-09-20 00:00:00+00:00,gbpusd,1.2949,1.2949,1.2949,1.2949
2016-09-21 00:00:00+00:00,gbpusd,1.2958,1.2958,1.2958,1.2958
