areaCode,areaName,areaType,date,newCasesBySpecimenDate
E07000079,Cotswold,ltla,2021-05-23,1
E07000079,Cotswold,ltla,2021-05-22,3
E07000079,Cotswold,ltla,2021-05-21,1
E07000079,Cotswold,ltla,2021-05-20,3
E07000079,Cotswold,ltla,2021-05-19,1
E07000079,Cotswold,ltla,2021-05-18,2
E07000079,Cotswold,ltla,2021-05-17,0
E07000079,Cotswold,ltla,2021-05-16,1
E07000079,Cotswold,ltla,2021-05-15,0
E07000079,Cotswold,ltla,2021-05-14,1
E07000079,Cotswold,ltla,2021-05-13,2
E07000079,Cotswold,ltla,2021-05-12,2
E07000079,Cotswold,ltla,2021-05-11,1
E07000079,Cotswold,ltla,2021-05-10,1
E07000079,Cotswold,ltla,2021-05-09,1
E07000079,Cotswold,ltla,2021-05-08,1
E07000079,Cotswold,ltla,2021-05-07,0
E07000079,Cotswold,ltla,2021-05-06,2
E07000079,Cotswold,ltla,2021-05-05,1
E07000079,Cotswold,ltla,2021-05-04,1
E07000079,Cotswold,ltla,2021-05-03,1
E07000079,Cotswold,ltla,2021-05-02,0
E07000079,Cotswold,ltla,2021-05-01,0
E07000079,Cotswold,ltla,2021-04-30,5
E07000079,Cotswold,ltla,2021-04-29,1
E07000079,Cotswold,ltla,2021-04-28,1
E07000079,Cotswold,ltla,2021-04-27,1
E07000079,Cotswold,ltla,2021-04-26,1
E07000079,Cotswold,ltla,2021-04-25,4
E07000079,Cotswold,ltla,2021-04-24,0
E07000079,Cotswold,ltla,2021-04-23,1
E07000079,Cotswold,ltla,2021-04-22,0
E07000079,Cotswold,ltla,2021-04-21,3
E07000079,Cotswold,ltla,2021-04-20,2
E07000079,Cotswold,ltla,2021-04-19,4
E07000079,Cotswold,ltla,2021-04-18,4
E07000079,Cotswold,ltla,2021-04-17,1
E07000079,Cotswold,ltla,2021-04-16,0
E07000079,Cotswold,ltla,2021-04-15,1
E07000079,Cotswold,ltla,2021-04-14,1
E07000079,Cotswold,ltla,2021-04-13,0
E07000079,Cotswold,ltla,2021-04-12,1
E07000079,Cotswold,ltla,2021-04-11,0
E07000079,Cotswold,ltla,2021-04-10,0
E07000079,Cotswold,ltla,2021-04-09,3
E07000079,Cotswold,ltla,2021-04-08,1
E07000079,Cotswold,ltla,2021-04-07,0
E07000079,Cotswold,ltla,2021-04-06,0
E07000079,Cotswold,ltla,2021-04-05,0
E07000079,Cotswold,ltla,2021-04-04,2
E07000079,Cotswold,ltla,2021-04-03,0
E07000079,Cotswold,ltla,2021-04-02,1
E07000079,Cotswold,ltla,2021-04-01,2
E07000079,Cotswold,ltla,2021-03-31,3
E07000079,Cotswold,ltla,2021-03-30,1
E07000079,Cotswold,ltla,2021-03-29,2
E07000079,Cotswold,ltla,2021-03-28,0
E07000079,Cotswold,ltla,2021-03-27,1
E07000079,Cotswold,ltla,2021-03-26,3
E07000079,Cotswold,ltla,2021-03-25,0
E07000079,Cotswold,ltla,2021-03-24,0
E07000079,Cotswold,ltla,2021-03-23,3
E07000079,Cotswold,ltla,2021-03-22,0
E07000079,Cotswold,ltla,2021-03-21,0
E07000079,Cotswold,ltla,2021-03-20,0
E07000079,Cotswold,ltla,2021-03-19,1
E07000079,Cotswold,ltla,2021-03-18,2
E07000079,Cotswold,ltla,2021-03-17,1
E07000079,Cotswold,ltla,2021-03-16,0
E07000079,Cotswold,ltla,2021-03-15,3
E07000079,Cotswold,ltla,2021-03-14,0
E07000079,Cotswold,ltla,2021-03-13,2
E07000079,Cotswold,ltla,2021-03-12,3
E07000079,Cotswold,ltla,2021-03-11,1
E07000079,Cotswold,ltla,2021-03-10,1
E07000079,Cotswold,ltla,2021-03-09,2
E07000079,Cotswold,ltla,2021-03-08,1
E07000079,Cotswold,ltla,2021-03-07,2
E07000079,Cotswold,ltla,2021-03-06,0
E07000079,Cotswold,ltla,2021-03-05,1
E07000079,Cotswold,ltla,2021-03-04,2
E07000079,Cotswold,ltla,2021-03-03,2
E07000079,Cotswold,ltla,2021-03-02,4
E07000079,Cotswold,ltla,2021-03-01,4
E07000079,Cotswold,ltla,2021-02-28,1
E07000079,Cotswold,ltla,2021-02-27,1
E07000079,Cotswold,ltla,2021-02-26,1
E07000079,Cotswold,ltla,2021-02-25,1
E07000079,Cotswold,ltla,2021-02-24,3
E07000079,Cotswold,ltla,2021-02-23,9
E07000079,Cotswold,ltla,2021-02-22,5
E07000079,Cotswold,ltla,2021-02-21,3
E07000079,Cotswold,ltla,2021-02-20,6
E07000079,Cotswold,ltla,2021-02-19,9
E07000079,Cotswold,ltla,2021-02-18,4
E07000079,Cotswold,ltla,2021-02-17,6
E07000079,Cotswold,ltla,2021-02-16,2
E07000079,Cotswold,ltla,2021-02-15,8
E07000079,Cotswold,ltla,2021-02-14,2
E07000079,Cotswold,ltla,2021-02-13,5
E07000079,Cotswold,ltla,2021-02-12,3
E07000079,Cotswold,ltla,2021-02-11,9
E07000079,Cotswold,ltla,2021-02-10,8
E07000079,Cotswold,ltla,2021-02-09,6
E07000079,Cotswold,ltla,2021-02-08,16
E07000079,Cotswold,ltla,2021-02-07,6
E07000079,Cotswold,ltla,2021-02-06,5
E07000079,Cotswold,ltla,2021-02-05,9
E07000079,Cotswold,ltla,2021-02-04,3
E07000079,Cotswold,ltla,2021-02-03,18
E07000079,Cotswold,ltla,2021-02-02,10
E07000079,Cotswold,ltla,2021-02-01,18
E07000079,Cotswold,ltla,2021-01-31,5
E07000079,Cotswold,ltla,2021-01-30,7
E07000079,Cotswold,ltla,2021-01-29,11
E07000079,Cotswold,ltla,2021-01-28,9
E07000079,Cotswold,ltla,2021-01-27,33
E07000079,Cotswold,ltla,2021-01-26,6
E07000079,Cotswold,ltla,2021-01-25,20
E07000079,Cotswold,ltla,2021-01-24,4
E07000079,Cotswold,ltla,2021-01-23,11
E07000079,Cotswold,ltla,2021-01-22,24
E07000079,Cotswold,ltla,2021-01-21,17
E07000079,Cotswold,ltla,2021-01-20,27
E07000079,Cotswold,ltla,2021-01-19,37
E07000079,Cotswold,ltla,2021-01-18,31
E07000079,Cotswold,ltla,2021-01-17,13
E07000079,Cotswold,ltla,2021-01-16,13
E07000079,Cotswold,ltla,2021-01-15,24
E07000079,Cotswold,ltla,2021-01-14,33
E07000079,Cotswold,ltla,2021-01-13,24
E07000079,Cotswold,ltla,2021-01-12,25
E07000079,Cotswold,ltla,2021-01-11,36
E07000079,Cotswold,ltla,2021-01-10,17
E07000079,Cotswold,ltla,2021-01-09,12
E07000079,Cotswold,ltla,2021-01-08,23
E07000079,Cotswold,ltla,2021-01-07,27
E07000079,Cotswold,ltla,2021-01-06,27
E07000079,Cotswold,ltla,2021-01-05,44
E07000079,Cotswold,ltla,2021-01-04,45
E07000079,Cotswold,ltla,2021-01-03,20
E07000079,Cotswold,ltla,2021-01-02,49
E07000079,Cotswold,ltla,2021-01-01,28
E07000079,Cotswold,ltla,2020-12-31,26
E07000079,Cotswold,ltla,2020-12-30,45
E07000079,Cotswold,ltla,2020-12-29,61
E07000079,Cotswold,ltla,2020-12-28,35
E07000079,Cotswold,ltla,2020-12-27,34
E07000079,Cotswold,ltla,2020-12-26,29
E07000079,Cotswold,ltla,2020-12-25,5
E07000079,Cotswold,ltla,2020-12-24,22
E07000079,Cotswold,ltla,2020-12-23,32
E07000079,Cotswold,ltla,2020-12-22,34
E07000079,Cotswold,ltla,2020-12-21,45
E07000079,Cotswold,ltla,2020-12-20,23
E07000079,Cotswold,ltla,2020-12-19,16
E07000079,Cotswold,ltla,2020-12-18,35
E07000079,Cotswold,ltla,2020-12-17,14
E07000079,Cotswold,ltla,2020-12-16,32
E07000079,Cotswold,ltla,2020-12-15,12
E07000079,Cotswold,ltla,2020-12-14,23
E07000079,Cotswold,ltla,2020-12-13,21
E07000079,Cotswold,ltla,2020-12-12,11
E07000079,Cotswold,ltla,2020-12-11,19
E07000079,Cotswold,ltla,2020-12-10,9
E07000079,Cotswold,ltla,2020-12-09,9
E07000079,Cotswold,ltla,2020-12-08,5
E07000079,Cotswold,ltla,2020-12-07,6
E07000079,Cotswold,ltla,2020-12-06,4
E07000079,Cotswold,ltla,2020-12-05,4
E07000079,Cotswold,ltla,2020-12-04,5
E07000079,Cotswold,ltla,2020-12-03,5
E07000079,Cotswold,ltla,2020-12-02,7
E07000079,Cotswold,ltla,2020-12-01,9
E07000079,Cotswold,ltla,2020-11-30,5
E07000079,Cotswold,ltla,2020-11-29,6
E07000079,Cotswold,ltla,2020-11-28,5
E07000079,Cotswold,ltla,2020-11-27,8
E07000079,Cotswold,ltla,2020-11-26,5
E07000079,Cotswold,ltla,2020-11-25,5
E07000079,Cotswold,ltla,2020-11-24,4
E07000079,Cotswold,ltla,2020-11-23,4
E07000079,Cotswold,ltla,2020-11-22,5
E07000079,Cotswold,ltla,2020-11-21,3
E07000079,Cotswold,ltla,2020-11-20,9
E07000079,Cotswold,ltla,2020-11-19,3
E07000079,Cotswold,ltla,2020-11-18,9
E07000079,Cotswold,ltla,2020-11-17,11
E07000079,Cotswold,ltla,2020-11-16,8
E07000079,Cotswold,ltla,2020-11-15,15
E07000079,Cotswold,ltla,2020-11-14,16
E07000079,Cotswold,ltla,2020-11-13,24
E07000079,Cotswold,ltla,2020-11-12,16
E07000079,Cotswold,ltla,2020-11-11,31
E07000079,Cotswold,ltla,2020-11-10,17
E07000079,Cotswold,ltla,2020-11-09,28
E07000079,Cotswold,ltla,2020-11-08,13
E07000079,Cotswold,ltla,2020-11-07,20
E07000079,Cotswold,ltla,2020-11-06,29
E07000079,Cotswold,ltla,2020-11-05,11
E07000079,Cotswold,ltla,2020-11-04,23
E07000079,Cotswold,ltla,2020-11-03,26
E07000079,Cotswold,ltla,2020-11-02,16
E07000079,Cotswold,ltla,2020-11-01,6
E07000079,Cotswold,ltla,2020-10-31,9
E07000079,Cotswold,ltla,2020-10-30,17
E07000079,Cotswold,ltla,2020-10-29,27
E07000079,Cotswold,ltla,2020-10-28,24
E07000079,Cotswold,ltla,2020-10-27,13
E07000079,Cotswold,ltla,2020-10-26,19
E07000079,Cotswold,ltla,2020-10-25,8
E07000079,Cotswold,ltla,2020-10-24,8
E07000079,Cotswold,ltla,2020-10-23,10
E07000079,Cotswold,ltla,2020-10-22,13
E07000079,Cotswold,ltla,2020-10-21,15
E07000079,Cotswold,ltla,2020-10-20,15
E07000079,Cotswold,ltla,2020-10-19,15
E07000079,Cotswold,ltla,2020-10-18,6
E07000079,Cotswold,ltla,2020-10-17,9
E07000079,Cotswold,ltla,2020-10-16,4
E07000079,Cotswold,ltla,2020-10-15,9
E07000079,Cotswold,ltla,2020-10-14,7
E07000079,Cotswold,ltla,2020-10-13,5
E07000079,Cotswold,ltla,2020-10-12,8
E07000079,Cotswold,ltla,2020-10-11,12
E07000079,Cotswold,ltla,2020-10-10,8
E07000079,Cotswold,ltla,2020-10-09,15
E07000079,Cotswold,ltla,2020-10-08,15
E07000079,Cotswold,ltla,2020-10-07,7
E07000079,Cotswold,ltla,2020-10-06,7
E07000079,Cotswold,ltla,2020-10-05,7
E07000079,Cotswold,ltla,2020-10-04,2
E07000079,Cotswold,ltla,2020-10-03,3
E07000079,Cotswold,ltla,2020-10-02,6
E07000079,Cotswold,ltla,2020-10-01,4
E07000079,Cotswold,ltla,2020-09-30,5
E07000079,Cotswold,ltla,2020-09-29,3
E07000079,Cotswold,ltla,2020-09-28,3
E07000079,Cotswold,ltla,2020-09-27,1
E07000079,Cotswold,ltla,2020-09-26,1
E07000079,Cotswold,ltla,2020-09-25,3
E07000079,Cotswold,ltla,2020-09-24,1
E07000079,Cotswold,ltla,2020-09-23,1
E07000079,Cotswold,ltla,2020-09-22,1
